Season;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR
1993-1994;29/08/1993;Udinese;Parma;0.0;1.0;A
1993-1994;29/08/1993;Piacenza;Torino;0.0;3.0;A
1993-1994;29/08/1993;Napoli;Sampdoria;1.0;2.0;A
1993-1994;29/08/1993;Lecce;Milan;0.0;1.0;A
1993-1994;29/08/1993;Atalanta;Cagliari;5.0;2.0;H
1993-1994;29/08/1993;Juventus;Cremonese;1.0;0.0;H
1993-1994;29/08/1993;Genoa;Roma;2.0;0.0;H
1993-1994;29/08/1993;Lazio;Foggia;0.0;0.0;D
1993-1994;29/08/1993;Inter;Reggiana;2.0;1.0;H
1993-1994;05/09/1993;Cremonese;Napoli;2.0;0.0;H
1993-1994;05/09/1993;Foggia;Inter;1.0;1.0;D
1993-1994;05/09/1993;Milan;Genoa;1.0;0.0;H
1993-1994;05/09/1993;Parma;Lecce;1.0;0.0;H
1993-1994;05/09/1993;Reggiana;Lazio;0.0;0.0;D
1993-1994;05/09/1993;Roma;Juventus;2.0;1.0;H
1993-1994;05/09/1993;Sampdoria;Piacenza;2.0;1.0;H
1993-1994;05/09/1993;Torino;Atalanta;2.0;1.0;H
1993-1994;05/09/1993;Cagliari;Udinese;1.0;2.0;A
1993-1994;08/09/1993;Udinese;Roma;0.0;0.0;D
1993-1994;08/09/1993;Piacenza;Milan;0.0;0.0;D
1993-1994;08/09/1993;Napoli;Torino;0.0;0.0;D
1993-1994;08/09/1993;Inter;Cremonese;2.0;1.0;H
1993-1994;08/09/1993;Lazio;Parma;2.0;1.0;H
1993-1994;08/09/1993;Juventus;Sampdoria;3.0;1.0;H
1993-1994;08/09/1993;Genoa;Cagliari;1.0;1.0;D
1993-1994;08/09/1993;Atalanta;Reggiana;2.0;1.0;H
1993-1994;08/09/1993;Lecce;Foggia;0.0;2.0;A
1993-1994;12/09/1993;Sampdoria;Lecce;2.0;1.0;H
1993-1994;12/09/1993;Torino;Udinese;1.0;0.0;H
1993-1994;12/09/1993;Roma;Napoli;2.0;3.0;A
1993-1994;12/09/1993;Foggia;Juventus;1.0;1.0;D
1993-1994;12/09/1993;Parma;Genoa;2.0;1.0;H
1993-1994;12/09/1993;Milan;Atalanta;2.0;0.0;H
1993-1994;12/09/1993;Cagliari;Inter;1.0;0.0;H
1993-1994;12/09/1993;Cremonese;Lazio;1.0;0.0;H
1993-1994;12/09/1993;Reggiana;Piacenza;1.0;1.0;D
1993-1994;19/09/1993;Udinese;Sampdoria;0.0;2.0;A
1993-1994;19/09/1993;Piacenza;Lecce;2.0;1.0;H
1993-1994;19/09/1993;Parma;Torino;3.0;0.0;H
1993-1994;19/09/1993;Milan;Roma;2.0;0.0;H
1993-1994;19/09/1993;Juventus;Reggiana;4.0;0.0;H
1993-1994;19/09/1993;Genoa;Napoli;0.0;0.0;D
1993-1994;19/09/1993;Foggia;Cagliari;0.0;1.0;A
1993-1994;19/09/1993;Atalanta;Cremonese;0.0;0.0;D
1993-1994;19/09/1993;Lazio;Inter;0.0;0.0;D
1993-1994;26/09/1993;Sampdoria;Parma;1.0;1.0;D
1993-1994;26/09/1993;Torino;Genoa;2.0;0.0;H
